id,slug,nom,cp,ville,adresse,departement
"d9587fc8-e731-4200-8961-74f6b732cadd","audika-france-31270","AUDIKA FRANCE","31270","","14 RUE SAINT-LAURENT","31"
"acbd7584-0fe1-4a60-997a-adc82af0b23d","audika-france-29200","AUDIKA FRANCE","29200","","8 RUE GLASGOW","29"
"b9b629e5-46a5-4fc6-8015-aebad93deb4e","audika-france-33740","AUDIKA FRANCE","33740","","29 AVENUE DE LA PLAGE","33"
"72973d83-2df4-4716-94e0-e1db0bff752a","audika-france-33000","AUDIKA FRANCE","33000","","17 RUE EDMOND MICHELET","33"
"989ad981-1a3a-4df9-9154-37a15fb2ea5d","audika-france-13009","AUDIKA FRANCE","13009","","6, RUE AUGUSTIN AUBERT","13"
"4378d7c4-0355-4a85-9757-8dc9e9b4a64c","audika-france-33500","AUDIKA FRANCE","33500","","56 COURS DES GIRONDINS","33"
"b445bb90-1312-4f2c-88d4-b3a1a9044881","audika-france-06130","AUDIKA FRANCE","06130","","2 Chemin DES BASSES MOULIERES","06"
"0e23bfae-c421-4a92-966e-26b36adb3345","audika-france-28200","AUDIKA FRANCE","28200","","37 RUE DE LA REPUBLIQUE","28"
"c92fb22b-5723-4fa2-8a53-9bc9acfaad76","audika-france-34600","AUDIKA FRANCE","34600","","92 RUE SAINT ALEXANDRE","34"
"ed1bd88a-f0c1-4260-8dba-4b3f4a425da4","audika-france-34190","AUDIKA FRANCE","34190","","20 RUE BIRON","34"
"6c4de534-cd34-42d8-804a-dd6e977b222e","audika-france-25000","AUDIKA FRANCE","25000","","49 RUE DE BELFORT","25"
"d1dba5d5-e7c1-4db1-97ce-96b7b57b678b","audika-france-31650","AUDIKA FRANCE","31650","","1 IMPASSE DORDAC","31"
"71874d97-9fb0-4aae-aeef-facf07a4186a","audika-france-31000-2","AUDIKA FRANCE","31000","","63 BD DE STRASBOURG","31"
"02a81aea-a6b8-4f50-bab7-44c99e6dc82e","audika-france-31000","AUDIKA FRANCE","31000","","35 RUE DU LANGUEDOC","31"
"01128b89-48ae-4a3b-a910-fc5c85ecac36","audika-france-38000","AUDIKA FRANCE","38000","","14 BD EDOUARD REY","38"
"57dc1cd5-2765-4317-8de1-663ca0b9f93c","audika-france-38500","AUDIKA FRANCE","38500","","11 RUE GENEVOISE","38"
"dd059077-1e55-45be-ae23-0f926f303a1c","audika-france-38220","AUDIKA FRANCE","38220","","328 RUE DU GENERAL DE GAULLE","38"
"67c3ea04-adca-4f40-b03d-4f34ce656fe0","audika-france-29000","AUDIKA FRANCE","29000","","52 QUAI DE L'ODET","29"
"66daa3ee-0b3e-48fa-9b06-707ec30ed992","audika-france-28000","AUDIKA FRANCE","28000","","55 TER RUE DU GRAND FAUBOURG","28"
"5527d0ab-1cfb-47bb-8a75-a386df2101d0","audika-france-40800","AUDIKA FRANCE","40800","","22 RUE DU 13 JUIN","40"
"109d7efb-16b3-4d93-95ad-f2f3eb28ecb4","audika-france-41200","AUDIKA FRANCE","41200","","17 RUE DES TROIS ROIS","41"
"5a6bf9f1-40f4-4aff-bb19-2e6851d2836c","audika-france-42300","AUDIKA FRANCE","42300","","14 PLACE DE L'HOTEL DE VILLE","42"
"45951d3f-25c6-4ba1-ad2d-d6ff4db9fcc2","audika-france-42160","AUDIKA FRANCE","42160","","40 AV JEAN MERMOZ","42"
"d2a02083-455a-4d78-989f-af9515e5dba9","audika-france-42110","AUDIKA FRANCE","42110","","4 PLACE CARNOT","42"
"9edf30bb-f3cd-4c03-be87-cf0d381853ba","audika-france-29140","AUDIKA FRANCE","29140","","8 RUE BOULOUARD","29"
"3be5a96c-d9b4-4d13-be85-6952491d7aee","audika-france-44600","AUDIKA FRANCE","44600","","39 AV. ALBERT DE MUN","44"
"2c10f593-23ac-4521-8b05-36352a2916e2","audika-france-44000","AUDIKA FRANCE","44000","","10 ALLEE DU PORT MAILLARD","44"
"1dc09765-131d-4ea3-8bd4-92e0e9f3ec11","audika-france-45200","AUDIKA FRANCE","45200","","35, RUE JEAN JAURES","45"
"9561cfe9-9673-45cb-9ff4-24b291889bb6","audika-france-45000","AUDIKA FRANCE","45000","","5 RUE D'ILLIERS","45"
"c03ed640-6c7b-40fc-b174-aa8646815d60","audika-france-34800","AUDIKA FRANCE","34800","","6 CHEMIN DE LA MADELEINE","34"
"5e353964-8ec8-4204-ad9d-fcb1cfaf20aa","audika-france-29800","AUDIKA FRANCE","29800","","17 RUE DE LA TOUR D'AUVERGNE","29"
"3d63764c-069d-4b02-b5b6-2413d99985d4","audika-france-34070","AUDIKA FRANCE","34070","","49 RUE GUILLAUME JANVIER","34"
"600f943c-3fed-4c0e-bd09-763119cf8564","audika-france-51000","AUDIKA FRANCE","51000","","42 RUE DE LA MARNE","51"
"3a60cbef-5908-4211-ae24-547b568dfc67","audika-france-54000","AUDIKA FRANCE","54000","","87 RUE RAYMOND POINCARE","54"
"beeecd45-cb81-4070-a8a1-eeb615908f5a","audika-france-54150","AUDIKA FRANCE","54150","","3 RUE LEON WINSBACH","54"
"2474f3d3-9f78-4e7f-8300-cccb664ff345","audika-france-43100","AUDIKA FRANCE","43100","","18 AVENUE LEON BLUM","43"
"cf70778d-c8e5-4c57-86fc-45d9064e3655","audika-france-56000-2","AUDIKA FRANCE","56000","","4 PLACE LYAUTEY","56"
"1effa809-fc30-4b5e-b2f4-e932f9402cd1","audika-france-35400","AUDIKA FRANCE","35400","","20 AVENUE JEAN JAURES","35"
"cd104c1a-85a1-4a7a-9229-9ebec90db29e","audika-france-57800","AUDIKA FRANCE","57800","","15B RUE EUGENE KLOSTER","57"
