centre_id,slug,nom,siret,audio_nom,audio_prenom,reason,candidates_count
"","mutualite-francaise-paca-ssam-avignon-84000-342a06","MUTUALITE FRANCAISE PACA SSAM","35209813100514","VILANA","FLORENCE","multiple_nom_prenom_match_2",""
"","nb-vision-95100-argenteuil","NB VISION","79371479100027","BENMOUSSA","NARJIS","multiple_nom_prenom_match_2",""
